time,IA,IB,IC,Power,PF,kVAh,I_mean,I_imbalance,dI_dt,kVAh_rate,PF_abs,cluster,state,Vab,Vbc,Vca,V_mean,V_imbalance,V_deviation,P_error
2025-12-24 09:35:00,9.149,11.298,7.848,2.82825,0.8087500000000001,4018.30375,9.431666666666668,18.47269567815625,-0.0236666666666671,0.2902500000000145,0.8087500000000001,3,Running_Low,214.4115,214.77224999999999,210.579,213.25424999999998,1.0897064504503935,3.066250000000007,0.3807508866057784
2025-12-24 09:40:00,9.155,11.192,8.03,2.82875,0.8107500000000001,4018.5945,9.459,16.94439596153881,0.0273333333333347,0.2907500000001164,0.8107500000000001,3,Running_Low,213.67775,214.22775000000001,209.79025000000001,212.56525000000002,1.1379580711837909,3.3794318181818093,0.1862181107523928
2025-12-24 09:45:00,9.078,11.159,7.917,2.81775,0.8097500000000001,4018.8845,9.384666666666668,17.503147466426665,-0.0743333333333335,0.2899999999999636,0.8097500000000001,3,Running_Low,213.33675,213.7185,209.375,212.14341666666667,1.133716669263348,3.5711742424242425,0.9036778959548446
2025-12-24 09:50:00,9.202,11.205,8.007,2.81325,0.809,4019.17425,9.471333333333334,17.061196063247937,0.086666666666666,0.2897499999999127,0.809,3,Running_Low,213.30275,213.82025,209.75275,212.29191666666665,1.042976031438646,3.5036742424242493,0.14871952750675818
2025-12-24 09:55:00,9.166,11.19,8.074,2.82325,0.80925,4019.46425,9.476666666666668,16.6837097467861,0.0053333333333327,0.2899999999999636,0.80925,3,Running_Low,213.6105,213.84275,210.01125,212.48816666666667,1.0109803967746407,3.414469696969695,0.026625146007275172
2025-12-24 10:00:00,9.244,11.225,7.836,2.8415,0.8067500000000001,4019.742,9.435,18.045090170417467,-0.041666666666666,0.2777500000001964,0.8067500000000001,3,Running_Low,214.96525,214.69875,210.71675,213.46025,1.1148091014324135,2.9726136363636355,0.95994809471922
2025-12-24 10:05:00,9.374,11.295,7.758,2.839,0.806,4020.05,9.475666666666667,18.68671004691556,0.0406666666666666,0.3079999999999927,0.806,3,Running_Low,214.785,214.7755,211.12,213.56016666666665,0.9895345626151972,2.927196969696979,0.4914718524267506
2025-12-24 10:10:00,9.302,11.386,7.956,2.83875,0.80525,4020.3445,9.548,18.09993405330629,0.0723333333333329,0.2944999999999709,0.80525,3,Running_Low,215.21875,214.9785,211.30825,213.83516666666665,1.024933621937976,2.8021969696969764,0.3126615323577604
2025-12-24 10:15:00,9.311,11.207,8.057,2.836,0.8067500000000001,4020.6375,9.525,16.649515220551645,-0.0229999999999996,0.2929999999996653,0.8067500000000001,3,Running_Low,214.796,214.64,210.87875,213.43825,1.039159557129526,2.9826136363636313,0.16837091621369554
2025-12-24 10:20:00,9.375,11.279,7.859,2.8207500000000003,0.8077500000000001,4020.93025,9.504333333333332,18.03034721077776,-0.020666666666667,0.2927500000005238,0.8077500000000001,3,Running_Low,213.96025,214.08425,209.8695,212.638,1.127922964980229,3.346363636363634,0.2387253309881681
2025-12-24 10:25:00,9.376,11.207,7.725,2.818,0.8037500000000001,4021.221,9.436,18.45883047715696,-0.0683333333333333,0.2907499999996616,0.8037500000000001,3,Running_Low,215.2185,214.73624999999998,210.81650000000002,213.59041666666667,1.1303658975036135,2.9134469696969685,0.4341697185485561
2025-12-24 10:30:00,9.39,11.307,7.773,2.84275,0.80625,4021.51375,9.49,18.641949084981015,0.0540000000000002,0.2927500000000691,0.80625,3,Running_Low,214.85575,214.46175,210.5495,213.289,1.1161576778745272,3.0504545454545515,0.5679582670500967
2025-12-24 10:35:00,9.468,11.487,7.72,2.8485,0.8057500000000001,4021.808,9.558333333333332,19.722308181559068,0.0683333333333315,0.2942499999999199,0.8057500000000001,3,Running_Low,215.39375,214.6955,210.685,213.59141666666665,1.1897144866189135,2.9129924242424337,0.02548960886443199
2025-12-24 10:40:00,9.412,11.246,7.994,2.83225,0.80725,4022.10125,9.550666666666666,17.07135879011672,-0.0076666666666653,0.2932499999997162,0.80725,3,Running_Low,214.7275,214.47425,210.4015,213.20108333333334,1.1387440539849125,3.0904166666666617,0.5217846693426839
2025-12-24 10:45:00,9.347,11.247,7.696,2.80725,0.8035000000000001,4022.39225,9.43,18.843631144995136,-0.1206666666666667,0.2910000000001673,0.8035000000000001,3,Running_Low,214.97075,214.4255,210.15,213.18208333333334,1.238366565219275,3.099053030303028,0.3384097406603156
2025-12-24 10:50:00,9.315,11.393,7.631,2.83025,0.80425,4022.66975,9.446333333333332,19.948857203919538,0.0163333333333337,0.2775000000001455,0.80425,3,Running_Low,214.23624999999998,213.67374999999998,209.16424999999998,212.3580833333333,1.3092052825719267,3.473598484848501,1.267766588107702
2025-12-24 10:55:00,9.442,11.558,7.628,2.83175,0.8035000000000001,4022.97775,9.542666666666667,20.61198452200184,0.0963333333333338,0.3079999999999927,0.8035000000000001,3,Running_Low,214.46300000000002,214.0075,209.43525,212.63525,1.307696650446892,3.3476136363636306,0.2767060463286002
2025-12-24 11:00:00,9.421,11.66,7.825,2.83,0.8075000000000001,4023.25575,9.635333333333334,19.993736596660444,0.0926666666666662,0.2779999999997926,0.8075000000000001,3,Running_Low,212.70475,212.11125,207.47975,210.76525,1.3573201505806647,4.1976136363636325,0.3650428695232784
2025-12-24 11:05:00,9.431,11.561,7.565,2.8145,0.8077500000000001,4023.56075,9.519,21.004863170262468,-0.1163333333333334,0.3049999999998363,0.8077500000000001,3,Running_Low,212.66925,211.82825,207.196,210.56449999999998,1.3997407898472805,4.2888636363636445,0.3647944115054362
2025-12-24 11:10:00,9.37,11.366,7.719,2.81975,0.8087500000000001,4023.85125,9.485,19.253744606885416,-0.0340000000000006,0.2905000000000655,0.8087500000000001,3,Running_Low,212.0585,211.69525,207.37125,210.375,1.2395278178399436,4.375,0.8721287454943256
2025-12-24 11:15:00,9.481,11.687,7.665,2.836,0.808,4024.1435,9.611,20.95670535626683,0.1259999999999994,0.292250000000422,0.808,3,Running_Low,212.584,211.9785,207.31824999999998,210.6269166666667,1.3679822846948366,4.260492424242415,0.10397460606393436
2025-12-24 11:20:00,9.538,11.777,7.803,2.85175,0.8057500000000001,4024.43875,9.706,20.52667939923241,0.0950000000000006,0.2952500000001237,0.8057500000000001,3,Running_Low,213.88375,213.71625,209.00225,212.20075,1.3059558220999918,3.5451136363636366,0.7944670431425507
2025-12-24 11:25:00,9.4,11.623,7.964,2.874,0.80625,4024.7345,9.662333333333336,19.079781592335426,-0.0436666666666649,0.2957499999997708,0.80625,3,Running_Low,214.7185,214.238,209.924,212.96016666666665,1.23983306456661,3.1999242424242493,0.017501564333167827
2025-12-24 11:30:00,9.466,11.563,7.848,2.8685,0.8097500000000001,4025.03075,9.625666666666666,19.35075957807941,-0.0366666666666688,0.2962499999998726,0.8097500000000001,3,Running_Low,214.28675,213.8315,209.555,212.55775000000003,1.22809028731639,3.3828409090908966,0.037882909253700366
2025-12-24 11:35:00,9.398,11.609,7.867,2.83175,0.81025,4025.32275,9.624666666666666,19.546332420023376,-0.0009999999999994,0.2920000000003711,0.81025,3,Running_Low,213.47325,213.2045,208.572,211.74991666666665,1.3012685473910004,3.7500378787878867,1.0028674272016769
