ds,yhat
2026-05-12 04:51:00,7711.522547243187
2026-05-12 04:52:00,7711.522547243187
2026-05-12 04:53:00,7711.522547243187
2026-05-12 04:54:00,7711.522547243187
2026-05-12 04:55:00,7711.522547243187
2026-05-12 04:56:00,7711.522547243187
2026-05-12 04:57:00,7711.522547243187
2026-05-12 04:58:00,7711.522547243187
2026-05-12 04:59:00,7711.522547243187
2026-05-12 05:00:00,7711.522547243187
2026-05-12 05:01:00,7711.522547243187
2026-05-12 05:02:00,7711.522547243187
2026-05-12 05:03:00,7711.522547243187
2026-05-12 05:04:00,7711.522547243187
2026-05-12 05:05:00,7711.522547243187
2026-05-12 05:06:00,7711.522547243187
2026-05-12 05:07:00,7711.522547243187
2026-05-12 05:08:00,7711.522547243187
2026-05-12 05:09:00,7711.522547243187
2026-05-12 05:10:00,7711.522547243187
2026-05-12 05:11:00,7711.522547243187
2026-05-12 05:12:00,7711.522547243187
2026-05-12 05:13:00,7711.522547243187
2026-05-12 05:14:00,7711.522547243187
2026-05-12 05:15:00,7711.522547243187
2026-05-12 05:16:00,7711.522547243187
2026-05-12 05:17:00,7711.522547243187
2026-05-12 05:18:00,7711.522547243187
2026-05-12 05:19:00,7711.522547243187
2026-05-12 05:20:00,7711.522547243187
2026-05-12 05:21:00,7711.522547243187
2026-05-12 05:22:00,7711.522547243187
2026-05-12 05:23:00,7711.522547243187
2026-05-12 05:24:00,7711.522547243187
2026-05-12 05:25:00,7711.522547243187
2026-05-12 05:26:00,7711.522547243187
2026-05-12 05:27:00,7711.522547243187
2026-05-12 05:28:00,7711.522547243187
2026-05-12 05:29:00,7711.522547243187
2026-05-12 05:30:00,7711.522547243187
2026-05-12 05:31:00,7711.522547243187
2026-05-12 05:32:00,7711.522547243187
2026-05-12 05:33:00,7711.522547243187
2026-05-12 05:34:00,7711.522547243187
2026-05-12 05:35:00,7711.522547243187
2026-05-12 05:36:00,7711.522547243187
2026-05-12 05:37:00,7711.522547243187
2026-05-12 05:38:00,7711.522547243187
2026-05-12 05:39:00,7711.522547243187
2026-05-12 05:40:00,7711.522547243187
2026-05-12 05:41:00,7711.522547243187
2026-05-12 05:42:00,7711.522547243187
2026-05-12 05:43:00,7711.522547243187
2026-05-12 05:44:00,7711.522547243187
2026-05-12 05:45:00,7711.522547243187
2026-05-12 05:46:00,7711.522547243187
2026-05-12 05:47:00,7711.522565119876
2026-05-12 05:48:00,7711.522672380247
2026-05-12 05:49:00,7711.522870689512
2026-05-12 05:50:00,7711.52316171248
2026-05-12 05:51:00,7711.523547113224
2026-05-12 05:52:00,7711.52402855475
2026-05-12 05:53:00,7711.524607698667
2026-05-12 05:54:00,7711.525286204855
2026-05-12 05:55:00,7711.52606573113
2026-05-12 05:56:00,7711.526947932914
2026-05-12 05:57:00,7711.527934462896
2026-05-12 05:58:00,7711.529026970703
2026-05-12 05:59:00,7711.530227102562
2026-05-12 06:00:00,7711.531536500965
2026-05-12 06:01:00,7711.532956804335
2026-05-12 06:02:00,7711.534489646692
2026-05-12 06:03:00,7711.536136657313
2026-05-12 06:04:00,7711.5378994604025
2026-05-12 06:05:00,7711.539779674753
2026-05-12 06:06:00,7711.541778913411
2026-05-12 06:07:00,7711.543898783347
2026-05-12 06:08:00,7711.546140885114
2026-05-12 06:09:00,7711.548506812519
2026-05-12 06:10:00,7711.55099815229
2026-05-12 06:11:00,7711.553616483738
2026-05-12 06:12:00,7711.556363378434
2026-05-12 06:13:00,7711.55924039987
2026-05-12 06:14:00,7711.5622491031345
2026-05-12 06:15:00,7711.565391034582
2026-05-12 06:16:00,7711.568667731502
2026-05-12 06:17:00,7711.572080721795
2026-05-12 06:18:00,7711.575631523652
2026-05-12 06:19:00,7711.579321645218
2026-05-12 06:20:00,7711.583152584282
2026-05-12 06:21:00,7711.587125827947
2026-05-12 06:22:00,7711.591242852311
2026-05-12 06:23:00,7711.595505122155
2026-05-12 06:24:00,7711.599914090622
2026-05-12 06:25:00,7711.6044711989
2026-05-12 06:26:00,7711.609177875915
2026-05-12 06:27:00,7711.614035538015
2026-05-12 06:28:00,7711.619045588665
2026-05-12 06:29:00,7711.62420941814
2026-05-12 06:30:00,7711.629528403215
2026-05-12 06:31:00,7711.635003906873
2026-05-12 06:32:00,7711.640637277996
2026-05-12 06:33:00,7711.646429851072
2026-05-12 06:34:00,7711.652382945899
2026-05-12 06:35:00,7711.658497867294
2026-05-12 06:36:00,7711.664775904802
2026-05-12 06:37:00,7711.671218332409
2026-05-12 06:38:00,7711.677826408259
2026-05-12 06:39:00,7711.684601374371
2026-05-12 06:40:00,7711.691544456364
2026-05-12 06:41:00,7711.698656863177
2026-05-12 06:42:00,7711.705939786804
2026-05-12 06:43:00,7711.713394402017
2026-05-12 06:44:00,7711.721021866106
2026-05-12 06:45:00,7711.728823318612
2026-05-12 06:46:00,7711.736799881073
2026-05-12 06:47:00,7711.744952656768
2026-05-12 06:48:00,7711.753282730458
2026-05-12 06:49:00,7711.7617911681455
2026-05-12 06:50:00,7711.770479016826
2026-05-12 06:51:00,7711.779347304248
2026-05-12 06:52:00,7711.788397038677
2026-05-12 06:53:00,7711.797629208656
2026-05-12 06:54:00,7711.807044782782
2026-05-12 06:55:00,7711.81664470948
2026-05-12 06:56:00,7711.826429916778
2026-05-12 06:57:00,7711.836401312092
2026-05-12 06:58:00,7711.8465597820095
2026-05-12 06:59:00,7711.856906192086
2026-05-12 07:00:00,7711.867441386635
2026-05-12 07:01:00,7711.878166188526
2026-05-12 07:02:00,7711.889081398996
2026-05-12 07:03:00,7711.900187797449
2026-05-12 07:04:00,7711.911486141273
2026-05-12 07:05:00,7711.9229771656555
2026-05-12 07:06:00,7711.9346615834065
2026-05-12 07:07:00,7711.946540084781
2026-05-12 07:08:00,7711.958613337319
2026-05-12 07:09:00,7711.970881985668
2026-05-12 07:10:00,7711.983346651432
2026-05-12 07:11:00,7711.996007933017
2026-05-12 07:12:00,7712.008866405475
2026-05-12 07:13:00,7712.021922620365
2026-05-12 07:14:00,7712.035177105609
2026-05-12 07:15:00,7712.048630365357
2026-05-12 07:16:00,7712.062282879858
2026-05-12 07:17:00,7712.076135105332
2026-05-12 07:18:00,7712.090187473854
2026-05-12 07:19:00,7712.104440393236
2026-05-12 07:20:00,7712.118894246915
2026-05-12 07:21:00,7712.133549393855
2026-05-12 07:22:00,7712.148406168438
2026-05-12 07:23:00,7712.163464880376
2026-05-12 07:24:00,7712.178725814621
2026-05-12 07:25:00,7712.194189231279
2026-05-12 07:26:00,7712.209855365531
2026-05-12 07:27:00,7712.225724427564
2026-05-12 07:28:00,7712.241796602497
2026-05-12 07:29:00,7712.258072050322
2026-05-12 07:30:00,7712.274550905847
2026-05-12 07:31:00,7712.29123327864
2026-05-12 07:32:00,7712.30811925299
2026-05-12 07:33:00,7712.325208887855
2026-05-12 07:34:00,7712.342502216839
2026-05-12 07:35:00,7712.359999248152
2026-05-12 07:36:00,7712.37769996459
2026-05-12 07:37:00,7712.395604323512
2026-05-12 07:38:00,7712.413712256834
2026-05-12 07:39:00,7712.43202367101
2026-05-12 07:40:00,7712.450538447039
2026-05-12 07:41:00,7712.469256440461
2026-05-12 07:42:00,7712.48817748137
2026-05-12 07:43:00,7712.507301374422
2026-05-12 07:44:00,7712.526627898859
2026-05-12 07:45:00,7712.546156808537
2026-05-12 07:46:00,7712.565887831942
2026-05-12 07:47:00,7712.585820672245
2026-05-12 07:48:00,7712.605955007329
2026-05-12 07:49:00,7712.626290489839
2026-05-12 07:50:00,7712.646826747241
2026-05-12 07:51:00,7712.667563381867
2026-05-12 07:52:00,7712.688499970989
2026-05-12 07:53:00,7712.709636066884
2026-05-12 07:54:00,7712.730971196906
2026-05-12 07:55:00,7712.752504863565
2026-05-12 07:56:00,7712.774236544621
2026-05-12 07:57:00,7712.7961656931575
2026-05-12 07:58:00,7712.818291737693
2026-05-12 07:59:00,7712.840614082269
2026-05-12 08:00:00,7712.863132106567
2026-05-12 08:01:00,7712.8858451660135
2026-05-12 08:02:00,7712.908752591896
2026-05-12 08:03:00,7712.93185369149
2026-05-12 08:04:00,7712.95514774818
2026-05-12 08:05:00,7712.978634021597
2026-05-12 08:06:00,7713.002311747753
2026-05-12 08:07:00,7713.026180139182
2026-05-12 08:08:00,7713.050238385092
2026-05-12 08:09:00,7713.074485651514
2026-05-12 08:10:00,7713.098921081461
2026-05-12 08:11:00,7713.123543795093
2026-05-12 08:12:00,7713.148352889877
2026-05-12 08:13:00,7713.173347440769
2026-05-12 08:14:00,7713.198526500385
2026-05-12 08:15:00,7713.223889099184
2026-05-12 08:16:00,7713.249434245656
2026-05-12 08:17:00,7713.275160926515
2026-05-12 08:18:00,7713.301068106893
2026-05-12 08:19:00,7713.327154730539
2026-05-12 08:20:00,7713.353419720031
2026-05-12 08:21:00,7713.379861976977
2026-05-12 08:22:00,7713.406480382239
2026-05-12 08:23:00,7713.433273796145
2026-05-12 08:24:00,7713.460241058715
2026-05-12 08:25:00,7713.487380989888
2026-05-12 08:26:00,7713.5146923897555
2026-05-12 08:27:00,7713.542174038796
2026-05-12 08:28:00,7713.569824698113
2026-05-12 08:29:00,7713.597643109685
2026-05-12 08:30:00,7713.62562799661
2026-05-12 08:31:00,7713.653778063358
2026-05-12 08:32:00,7713.682091996027
2026-05-12 08:33:00,7713.710568462609
